2025-05-05 00:13:08 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: take_profit_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: take_profit_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:09 [INFO] Trade registrado: take_profit_short | PnL: 0.00
2025-05-05 00:13:09 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:09 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:09 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:09 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:09 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:09 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:09 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:09 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:09 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:09 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:09 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:09 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:09 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:09 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:09 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:09 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:09 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:09 [INFO] Trade registrado: take_profit_short | PnL: 0.00
2025-05-05 00:13:09 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:09 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:09 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:09 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:09 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:09 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:09 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:09 [INFO] Trade registrado: take_profit_short | PnL: 0.00
2025-05-05 00:13:09 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:09 [INFO] Trade registrado: take_profit_short | PnL: 0.00
2025-05-05 00:13:09 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:10 [INFO] Trade registrado: take_profit_short | PnL: 0.00
2025-05-05 00:13:10 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:14 [INFO] Trade registrado: take_profit_short | PnL: 0.00
2025-05-05 00:13:14 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:14 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:15 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:15 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:15 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:15 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:15 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:15 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:15 [INFO] Trade registrado: take_profit_short | PnL: 0.00
2025-05-05 00:13:15 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:16 [INFO] Trade registrado: take_profit_short | PnL: 0.00
2025-05-05 00:13:16 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:16 [INFO] Trade registrado: take_profit_short | PnL: 0.00
2025-05-05 00:13:16 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:17 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:17 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:17 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:17 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:17 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:17 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:17 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:17 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:17 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:17 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:17 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:17 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:17 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:17 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:17 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:17 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:17 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:17 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:17 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:17 [INFO] Trade registrado: take_profit_short | PnL: 0.00
2025-05-05 00:13:17 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:18 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:18 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:18 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:18 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:18 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:18 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:18 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:18 [INFO] Trade registrado: take_profit_short | PnL: 0.00
2025-05-05 00:13:18 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:18 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:18 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:18 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:18 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:18 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:18 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:18 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:18 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:18 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
